generation,add,sub,mul,div,Ageing index,Population density,migrants_Males,labour productivity,x,y,unemp_45 - 54,higher_female,no_male,avg_wage,Capital revenue,PPD/PSD,population_fitness,elite_fitness,val_fitness
0,0.25,0.25,0.25,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,6.851274387895941e+18,4.167361652485735,0.0
0,0.25,0.25,0.25,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.8899396622226145e+25,4.07797297238138,0.0
0,0.25,0.25,0.25,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.1751448427215843e+21,4.320632952107407,0.0
0,0.25,0.25,0.25,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,2.3510598750196886e+23,4.131001444015174,0.0
0,0.25,0.25,0.25,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.7745852869219617e+29,4.111132652081301,0.0
1,0.25,0.25,0.25,0.25,0.09232613908872901,0.09232613908872901,0.08153477218225419,0.08153477218225419,0.08153477218225419,0.08153477218225419,0.08153477218225419,0.07074340527577937,0.08153477218225419,0.09232613908872901,0.08153477218225419,0.08153477218225419,14513509.962591486,3.7564082794536446,0.0
1,0.25,0.25,0.25,0.25,0.08515151515151514,0.08515151515151514,0.08515151515151514,0.08515151515151514,0.07424242424242423,0.08515151515151514,0.08515151515151514,0.08515151515151514,0.08515151515151514,0.07424242424242423,0.08515151515151514,0.08515151515151514,4922693.95934411,3.256958567412257,0.0
1,0.2567567567567568,0.24324324324324323,0.2567567567567568,0.24324324324324326,0.08242424242424241,0.08242424242424241,0.08242424242424241,0.08242424242424241,0.09333333333333332,0.08242424242424241,0.08242424242424241,0.08242424242424241,0.08242424242424241,0.08242424242424241,0.08242424242424241,0.08242424242424241,189290.29239536327,3.0969079855317645,0.0
2,0.25328947368421056,0.2401315789473684,0.25328947368421056,0.25328947368421056,0.0822290944223039,0.09313818533139481,0.08246327202463015,0.08246327202463015,0.08246327202463015,0.08246327202463015,0.08246327202463015,0.0717883587178655,0.08246327202463015,0.09313818533139481,0.08246327202463015,0.08246327202463015,319703.4730645745,2.7450648931295474,0.0
1,0.2467087395686013,0.2600492510853168,0.26004925108531673,0.2331927582607652,0.08511248555112744,0.08511248555112744,0.08511248555112744,0.08511248555112744,0.08511248555112744,0.08511248555112744,0.07443757224436277,0.08511248555112744,0.07443757224436277,0.08511248555112744,0.08511248555112744,0.08511248555112744,756532032.775991,4.01775811248756,0.0
2,0.2467567567567568,0.24657657657657656,0.26009009009009015,0.24657657657657658,0.08243405275779374,0.08243405275779374,0.08243405275779374,0.08243405275779374,0.0932254196642686,0.08243405275779374,0.08243405275779374,0.08243405275779374,0.08243405275779374,0.08243405275779374,0.08243405275779374,0.08243405275779374,755.5073071527387,2.9872231361487813,0.0
1,0.25,0.25,0.25,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1565916.5441587453,4.111132652081301,0.0
