Seed,Algorithm,Preprocessing Pipeline,Scaling,Sampling,time,precision,recall,result_profit
1,KerasNN_3l_6n_oa_ih_lm_d2,feature_engineered,RobustScaler,None,0:01:31.001213,0.548736462093863,0.447058823529412,0.309
1,KerasNN_6l_12n_oa_iu_lm_d2,Morten_Pipeline,None,TomekLinks,0:02:10.178625,0,0,0
1,KerasNN_3l_6n_or_iu_lm_d2,box_cox_pipeline,RobustScaler,RandomOverSampler_0.5,0:01:54.774624,0,0,0
1,KerasNN_6l_12n_or_iu_lm_d2,simple_pipeline,RobustScaler,SMOTE,0:02:25.340636,0.666666666666667,0.643478260869565,0.523
1,KerasNN_3l_6n_oa_iu_lm_d2,chop_off,RobustScaler,SMOTE,0:01:34.028943,0.666666666666667,0.551724137931034,0.448
1,KerasNN_6l_6n_oa_iu_lm_d2,box_cox_pipeline,MinMaxScaler,TomekLinks,0:02:21.801501,0.68562874251497,0.637883008356546,0.528
1,KerasNN_3l_6n_oa_ih_lm_d2,feature_engineered,MinMaxScaler,RandomOverSampler_0.2,0:01:30.613696,0.613718411552347,0.422885572139303,0.323
1,KerasNN_3l_12n_or_iu_lm_d2,Joris_Pipeline,MinMaxScaler,RandomOverSampler_0.5,0:01:51.273762,0.768072289156626,0.671052631578947,0.595
1,KerasNN_6l_12n_oa_iu_lm_d2,Morten_Pipeline,None,EditedNN,0:01:50.347253,0,0,0
1,KerasNN_3l_6n_or_iu_lm_d2,box_cox_pipeline,RobustScaler,RandomOverSampler_0.5,0:01:44.912556,0,0,0
1,KerasNN_3l_6n_oa_iu_lm_d2,chop_off,RobustScaler,SMOTETomek,0:01:51.037339,0.760416666666667,0.496598639455782,0.438
1,KerasNN_6l_6n_oa_iu_lm_d2,box_cox_pipeline,MinMaxScaler,EditedNN,0:02:08.061103,0.739520958083832,0.560090702947846,0.486
1,KerasNN_3l_12n_or_iu_lm_d2,Joris_Pipeline,MinMaxScaler,RandomOverSampler_0.5,0:01:44.277648,0.701807228915663,0.679300291545189,0.571
1,KerasNN_3l_6n_oa_ih_lm_d2,feature_engineered,MinMaxScaler,RandomOverSampler_0.5,0:01:50.131199,0.624548736462094,0.4325,0.335
1,KerasNN_6l_12n_or_iu_lm_d2,simple_pipeline,RobustScaler,SMOTETomek,0:02:48.998122,0.714714714714715,0.583333333333333,0.496
1,KerasNN_3l_6n_or_iu_lm_d2,box_cox_pipeline,RobustScaler,TomekLinks,0:01:36.452804,0,0,0
1,KerasNN_3l_6n_oa_iu_lm_d2,chop_off,RobustScaler,None,0:01:16.276114,0.671875,0.638613861386139,0.522
1,KerasNN_3l_12n_or_iu_lm_d2,Joris_Pipeline,MinMaxScaler,TomekLinks,0:01:34.066614,0.641566265060241,0.700657894736842,0.554
1,KerasNN_6l_12n_oa_iu_lm_d2,Morten_Pipeline,None,SMOTE,0:02:49.721133,1,0.149414941494149,0.149
1,KerasNN_3l_6n_oa_ih_lm_d2,feature_engineered,MinMaxScaler,RandomOverSampler_0.5,0:01:41.701405,0.620938628158845,0.42156862745098,0.325
1,KerasNN_3l_6n_or_iu_lm_d2,box_cox_pipeline,RobustScaler,EditedNN,0:01:22.192752,0,0,0
1,KerasNN_3l_6n_oa_iu_lm_d2,chop_off,MinMaxScaler,RandomOverSampler_0.2,0:01:19.652175,0.578125,0.69811320754717,0.507
1,KerasNN_6l_12n_or_iu_lm_d2,simple_pipeline,RobustScaler,None,0:02:00.594325,0.615615615615616,0.716783216783217,0.549
1,KerasNN_6l_6n_oa_iu_lm_d2,box_cox_pipeline,MinMaxScaler,SMOTE,0:02:45.953306,0.760479041916168,0.568232662192394,0.501
1,KerasNN_3l_12n_or_iu_lm_d2,Joris_Pipeline,MinMaxScaler,EditedNN,0:01:22.014402,0.756024096385542,0.604819277108434,0.532
1,KerasNN_3l_6n_oa_ih_lm_d2,feature_engineered,MinMaxScaler,TomekLinks,0:01:26.233467,0.592057761732852,0.442048517520216,0.328
1,KerasNN_3l_6n_oa_iu_lm_d2,chop_off,MinMaxScaler,RandomOverSampler_0.5,0:01:36.709758,0.666666666666667,0.615384615384615,0.5
1,KerasNN_3l_6n_or_iu_lm_d2,box_cox_pipeline,RobustScaler,SMOTE,0:01:55.361301,0,0,0
1,KerasNN_6l_12n_or_iu_lm_d2,simple_pipeline,MinMaxScaler,RandomOverSampler_0.2,0:02:02.656733,0.582582582582583,0.726591760299625,0.531
1,KerasNN_3l_6n_oa_ih_lm_d2,feature_engineered,MinMaxScaler,EditedNN,0:01:16.254041,0.59927797833935,0.425641025641026,0.319
1,KerasNN_3l_12n_or_iu_lm_d2,Joris_Pipeline,MinMaxScaler,SMOTE,0:01:53.267373,0.759036144578313,0.628428927680798,0.554
