Seed,Algorithm,Preprocessing Pipeline,Scaling,Sampling,time,precision,recall,result_profit
1,OrthogonalMatchingPursuit,simple_pipeline,MinMaxScaler,RandomOverSampler_0.2,0:00:05.095631,0.591591591591592,0.54874651810585,0.407
1,OrthogonalMatchingPursuit,Morten_Pipeline,Normalizer,RandomOverSampler_0.5,0:00:03.732167,0.530120481927711,0.635379061371841,0.424
1,OrthogonalMatchingPursuit,box_cox_pipeline,MinMaxScaler,None,0:00:04.949140,0.550898203592814,0.619528619528619,0.43
1,OrthogonalMatchingPursuit,Morten_Pipeline,Normalizer,RandomOverSampler_0.5,0:00:03.157089,0.692771084337349,0.497835497835498,0.415
1,OrthogonalMatchingPursuit,simple_pipeline,MinMaxScaler,RandomOverSampler_0.5,0:00:04.278151,0.687687687687688,0.508888888888889,0.422
1,OrthogonalMatchingPursuit,box_cox_pipeline,Normalizer,RandomOverSampler_0.2,0:00:03.901405,0.658682634730539,0.224948875255624,0.181
1,OrthogonalMatchingPursuit,Morten_Pipeline,Normalizer,TomekLinks,0:00:03.346853,0.72289156626506,0.47713717693837,0.409
1,OrthogonalMatchingPursuit,simple_pipeline,MinMaxScaler,RandomOverSampler_0.5,0:00:03.327032,0.636636636636637,0.542199488491049,0.426
1,OrthogonalMatchingPursuit,box_cox_pipeline,Normalizer,RandomOverSampler_0.5,0:00:04.253332,0.739520958083832,0.21496953872933,0.187
1,OrthogonalMatchingPursuit,Morten_Pipeline,Normalizer,EditedNN,0:00:04.089023,0.635542168674699,0.504784688995215,0.396
1,OrthogonalMatchingPursuit,simple_pipeline,MinMaxScaler,TomekLinks,0:00:03.818503,0.660660660660661,0.497737556561086,0.402
1,OrthogonalMatchingPursuit,box_cox_pipeline,Normalizer,RandomOverSampler_0.5,0:00:04.253976,0.709580838323353,0.223374175306315,0.189
1,OrthogonalMatchingPursuit,Morten_Pipeline,Normalizer,SMOTE,0:00:03.215050,0.680722891566265,0.539379474940334,0.445
1,Lasso,Joris_Pipeline,StandardScaler,RandomOverSampler_0.2,0:00:03.658725,0.61144578313253,0.61144578313253,0.466
1,Lasso,Morten_Pipeline,Normalizer,SMOTETomek,0:00:03.615278,0.737951807228916,0.177279305354559,0.154
1,OrthogonalMatchingPursuit,box_cox_pipeline,Normalizer,TomekLinks,0:00:04.920232,0.281437125748503,0.282282282282282,0.012
1,Lasso,Joris_Pipeline,StandardScaler,RandomOverSampler_0.5,0:00:04.169394,0.596385542168675,0.620689655172414,0.463
1,Lasso,Morten_Pipeline,Normalizer,None,0:00:04.042446,0,0,0
1,OrthogonalMatchingPursuit,box_cox_pipeline,Normalizer,EditedNN,0:00:05.523430,0.577844311377245,0.239157372986369,0.174
1,Lasso,Joris_Pipeline,StandardScaler,RandomOverSampler_0.5,0:00:04.708499,0.653614457831325,0.589673913043478,0.472
1,Lasso,Morten_Pipeline,None,RandomOverSampler_0.2,0:00:03.695337,0.578313253012048,0.65979381443299,0.479
1,OrthogonalMatchingPursuit,box_cox_pipeline,Normalizer,SMOTE,0:00:04.713864,0.739520958083832,0.217621145374449,0.189
1,Lasso,Morten_Pipeline,None,RandomOverSampler_0.5,0:00:03.268862,0.602409638554217,0.617283950617284,0.465
1,Lasso,Joris_Pipeline,StandardScaler,TomekLinks,0:00:06.422525,0.536144578313253,0.644927536231884,0.436
1,Lasso,Morten_Pipeline,None,RandomOverSampler_0.5,0:00:03.404827,0.569277108433735,0.65625,0.47
1,Lasso,Joris_Pipeline,StandardScaler,EditedNN,0:00:05.386833,0.686746987951807,0.505543237250554,0.419
1,Lasso,Morten_Pipeline,None,TomekLinks,0:00:04.099480,0.617469879518072,0.599415204678363,0.46
1,OrthogonalMatchingPursuit,box_cox_pipeline,Normalizer,SMOTETomek,0:00:08.086651,0.676646706586826,0.227364185110664,0.187
1,Lasso,Morten_Pipeline,None,EditedNN,0:00:03.234281,0.635542168674699,0.556728232189974,0.437
1,Lasso,Joris_Pipeline,StandardScaler,SMOTE,0:00:04.248563,0.590361445783132,0.616352201257862,0.456
1,OrthogonalMatchingPursuit,box_cox_pipeline,Normalizer,None,0:00:04.010300,0.281437125748503,0.286585365853658,0.012
1,Lasso,Morten_Pipeline,None,SMOTE,0:00:03.712380,0.593373493975904,0.635483870967742,0.472
1,OrthogonalMatchingPursuit,box_cox_pipeline,None,RandomOverSampler_0.2,0:00:04.180489,0.604790419161677,0.595870206489675,0.45
1,Lasso,Joris_Pipeline,StandardScaler,SMOTETomek,0:00:07.162270,0.623493975903614,0.581460674157303,0.45
1,Lasso,Morten_Pipeline,None,SMOTETomek,0:00:04.154450,0.626506024096386,0.585915492957746,0.455
1,OrthogonalMatchingPursuit,box_cox_pipeline,None,RandomOverSampler_0.5,0:00:04.327015,0.598802395209581,0.60790273556231,0.455
1,Lasso,Joris_Pipeline,StandardScaler,None,0:00:03.214151,0.593373493975904,0.611801242236025,0.455
1,Lasso,Morten_Pipeline,None,None,0:00:03.913962,0.587349397590361,0.639344262295082,0.471
1,OrthogonalMatchingPursuit,box_cox_pipeline,None,RandomOverSampler_0.5,0:00:04.419258,0.568862275449102,0.635451505016722,0.455
1,Lasso,Joris_Pipeline,RobustScaler,RandomOverSampler_0.2,0:00:04.936710,0.61144578313253,0.604166666666667,0.46
1,Lasso,Bin it!,StandardScaler,RandomOverSampler_0.2,0:00:04.151262,0.629518072289157,0.585434173669468,0.456
1,Lasso,Joris_Pipeline,RobustScaler,RandomOverSampler_0.5,0:00:04.145412,0.587349397590361,0.623003194888179,0.459
1,Lasso,Bin it!,StandardScaler,RandomOverSampler_0.5,0:00:04.653695,0.710843373493976,0.556603773584906,0.472
1,OrthogonalMatchingPursuit,box_cox_pipeline,None,TomekLinks,0:00:06.817961,0.616766467065868,0.561307901907357,0.431
1,Lasso,Joris_Pipeline,RobustScaler,RandomOverSampler_0.5,0:00:03.740741,0.626506024096386,0.599423631123919,0.465
1,Lasso,Bin it!,StandardScaler,RandomOverSampler_0.5,0:00:04.297021,0.587349397590361,0.643564356435644,0.474
1,OrthogonalMatchingPursuit,box_cox_pipeline,None,EditedNN,0:00:06.092477,0.559880239520958,0.57716049382716,0.407
1,Lasso,Joris_Pipeline,RobustScaler,TomekLinks,0:00:03.521792,0.623493975903614,0.570247933884297,0.441
1,Lasso,Joris_Pipeline,RobustScaler,EditedNN,0:00:04.003231,0.626506024096386,0.579387186629526,0.45
1,Lasso,Bin it!,StandardScaler,TomekLinks,0:00:06.073305,0.620481927710843,0.570637119113573,0.44
1,OrthogonalMatchingPursuit,box_cox_pipeline,None,SMOTE,0:00:04.305349,0.517964071856287,0.706122448979592,0.46
1,Lasso,Joris_Pipeline,RobustScaler,SMOTE,0:00:03.481671,0.569277108433735,0.636363636363636,0.456
1,Lasso,Bin it!,StandardScaler,EditedNN,0:00:06.629027,0.632530120481928,0.542635658914729,0.424
1,Lasso,Bin it!,StandardScaler,SMOTE,0:00:04.264008,0.659638554216867,0.598360655737705,0.483
1,Lasso,Joris_Pipeline,RobustScaler,SMOTETomek,0:00:08.187841,0.668674698795181,0.544117647058823,0.443
1,OrthogonalMatchingPursuit,box_cox_pipeline,None,SMOTETomek,0:00:12.240839,0.655688622754491,0.535452322738386,0.43
1,Lasso,Joris_Pipeline,RobustScaler,None,0:00:03.971844,0.590361445783132,0.604938271604938,0.448
1,OrthogonalMatchingPursuit,box_cox_pipeline,None,None,0:00:04.304845,0.604790419161677,0.569014084507042,0.43
1,Lasso,Bin it!,StandardScaler,SMOTETomek,0:00:06.518690,0.689759036144578,0.585677749360614,0.487
1,OrthogonalMatchingPursuit,feature_engineered,StandardScaler,RandomOverSampler_0.2,0:00:01.152334,-1,-1,-1
1,Lasso,Joris_Pipeline,MinMaxScaler,RandomOverSampler_0.2,0:00:02.910281,0.608433734939759,0.595870206489675,0.452
1,OrthogonalMatchingPursuit,feature_engineered,StandardScaler,RandomOverSampler_0.5,0:00:01.222777,-1,-1,-1
1,OrthogonalMatchingPursuit,feature_engineered,StandardScaler,RandomOverSampler_0.5,0:00:01.237250,-1,-1,-1
1,Lasso,Bin it!,StandardScaler,None,0:00:03.245268,0.608433734939759,0.588921282798834,0.447
1,OrthogonalMatchingPursuit,feature_engineered,StandardScaler,TomekLinks,0:00:01.348580,-1,-1,-1
1,Lasso,Joris_Pipeline,MinMaxScaler,RandomOverSampler_0.5,0:00:03.514034,0.659638554216867,0.576315789473684,0.465
1,OrthogonalMatchingPursuit,feature_engineered,StandardScaler,EditedNN,0:00:01.429648,-1,-1,-1
1,Lasso,Bin it!,RobustScaler,RandomOverSampler_0.2,0:00:02.660550,0.599397590361446,0.621875,0.466
1,OrthogonalMatchingPursuit,feature_engineered,StandardScaler,SMOTE,0:00:01.351693,-1,-1,-1
1,OrthogonalMatchingPursuit,feature_engineered,StandardScaler,SMOTETomek,0:00:01.258330,-1,-1,-1
1,Lasso,Joris_Pipeline,MinMaxScaler,RandomOverSampler_0.5,0:00:04.089737,0.590361445783132,0.630225080385852,0.466
1,OrthogonalMatchingPursuit,feature_engineered,StandardScaler,None,0:00:01.197409,-1,-1,-1
1,Lasso,Bin it!,RobustScaler,RandomOverSampler_0.5,0:00:03.947043,0.707831325301205,0.564903846153846,0.477
1,OrthogonalMatchingPursuit,feature_engineered,RobustScaler,RandomOverSampler_0.2,0:00:01.353153,-1,-1,-1
1,OrthogonalMatchingPursuit,feature_engineered,RobustScaler,RandomOverSampler_0.5,0:00:01.596945,-1,-1,-1
1,OrthogonalMatchingPursuit,feature_engineered,RobustScaler,RandomOverSampler_0.5,0:00:01.302224,-1,-1,-1
1,Lasso,Joris_Pipeline,MinMaxScaler,TomekLinks,0:00:06.006513,0.659638554216867,0.520190023752969,0.42
1,Lasso,Bin it!,RobustScaler,RandomOverSampler_0.5,0:00:04.809550,0.605421686746988,0.634069400630915,0.479
1,OrthogonalMatchingPursuit,feature_engineered,RobustScaler,TomekLinks,0:00:01.102812,-1,-1,-1
1,OrthogonalMatchingPursuit,feature_engineered,RobustScaler,EditedNN,0:00:00.910876,-1,-1,-1
1,OrthogonalMatchingPursuit,feature_engineered,RobustScaler,SMOTE,0:00:01.053994,-1,-1,-1
1,OrthogonalMatchingPursuit,feature_engineered,RobustScaler,SMOTETomek,0:00:01.471810,-1,-1,-1
1,OrthogonalMatchingPursuit,feature_engineered,RobustScaler,None,0:00:00.827866,-1,-1,-1
1,Lasso,Joris_Pipeline,MinMaxScaler,EditedNN,0:00:05.475052,0.671686746987952,0.51981351981352,0.425
1,OrthogonalMatchingPursuit,feature_engineered,MinMaxScaler,RandomOverSampler_0.2,0:00:01.266585,-1,-1,-1
1,Lasso,Bin it!,RobustScaler,TomekLinks,0:00:05.874219,0.623493975903614,0.581460674157303,0.45
