Municipality,Coordinates,x,y
Vinhais,"(41.8224297, -7.0498442)",41.8224297,-7.0498442
Alcobaça,"(39.54866699999999, -8.979649199999999)",39.548667,-8.9796492
Alenquer,"(39.0574004, -9.0063654)",39.0574004,-9.0063654
Arruda dos Vinhos,"(38.9835516, -9.0774591)",38.9835516,-9.0774591
Bombarral,"(39.2683079, -9.1581115)",39.2683079,-9.1581115
Cadaval,"(39.2384934, -9.1068816)",39.2384934,-9.1068816
Caldas da Rainha,"(39.4048977, -9.135404)",39.4048977,-9.135404
Lourinhã,"(39.2497523, -9.2896468)",39.2497523,-9.2896468
Nazaré,"(39.6012147, -9.0700991)",39.6012147,-9.0700991
Óbidos,"(39.3604212, -9.1582014)",39.3604212,-9.1582014
Peniche,"(39.3603291, -9.387622)",39.3603291,-9.387622
Sobral de Monte Agraço,"(39.0188114, -9.1505771)",39.0188114,-9.1505771
Torres Vedras,"(39.0910112, -9.2597522)",39.0910112,-9.2597522
Águeda,"(40.5754246, -8.446436799999999)",40.5754246,-8.4464368
Albergaria-a-Velha,"(40.6894236, -8.4796655)",40.6894236,-8.4796655
Anadia,"(40.440347, -8.4352505)",40.440347,-8.4352505
Aveiro,"(40.6405055, -8.6537539)",40.6405055,-8.6537539
Estarreja,"(40.7528385, -8.5709856)",40.7528385,-8.5709856
Ílhavo,"(40.602309, -8.672371)",40.602309,-8.672371
Murtosa,"(40.7372064, -8.6380517)",40.7372064,-8.6380517
Oliveira do Bairro,"(40.5170209, -8.498208)",40.5170209,-8.498208
Ovar,"(40.8596399, -8.6253313)",40.8596399,-8.6253313
Sever do Vouga,"(40.7334189, -8.371767199999999)",40.7334189,-8.3717672
Vagos,"(40.5552666, -8.681525299999999)",40.5552666,-8.6815253
Arganil,"(40.218549, -8.053887)",40.218549,-8.053887
Cantanhede,"(40.3470015, -8.5933462)",40.3470015,-8.5933462
Coimbra,"(40.2033145, -8.4102573)",40.2033145,-8.4102573
Condeixa-a-Nova,"(40.1128075, -8.498688999999999)",40.1128075,-8.498689
Figueira da Foz,"(40.1521398, -8.857583)",40.1521398,-8.857583
Góis,"(40.155204, -8.1106319)",40.155204,-8.1106319
Lousã,"(40.1147188, -8.2440038)",40.1147188,-8.2440038
Mealhada,"(40.378484, -8.453571799999999)",40.378484,-8.4535718
Mira,"(40.4287977, -8.738126099999999)",40.4287977,-8.7381261
Miranda do Corvo,"(40.09019809999999, -8.329640099999999)",40.0901981,-8.3296401
Montemor-o-Velho,"(40.1748245, -8.6826636)",40.1748245,-8.6826636
Mortágua,"(40.3968539, -8.2325058)",40.3968539,-8.2325058
Oliveira do Hospital,"(40.3608614, -7.862203200000001)",40.3608614,-7.8622032
Pampilhosa da Serra,"(40.0463704, -7.949715499999999)",40.0463704,-7.9497155
Penacova,"(40.2704883, -8.28054)",40.2704883,-8.28054
Penela,"(40.0292279, -8.3908296)",40.0292279,-8.3908296
Soure,"(40.0604197, -8.621863399999999)",40.0604197,-8.6218634
Tábua,"(40.3656384, -8.0356087)",40.3656384,-8.0356087
Vila Nova de Poiares,"(40.2107667, -8.25907)",40.2107667,-8.25907
Alvaiázere,"(39.8253215, -8.3827766)",39.8253215,-8.3827766
Ansião,"(39.9107177, -8.438509999999999)",39.9107177,-8.43851
Batalha,"(39.6582957, -8.8241243)",39.6582957,-8.8241243
Castanheira de Pêra,"(40.0063802, -8.2109607)",40.0063802,-8.2109607
Figueiró dos Vinhos,"(39.9026838, -8.2760816)",39.9026838,-8.2760816
Leiria,"(39.74953310000001, -8.807682999999999)",39.7495331,-8.807683
Marinha Grande,"(39.7503802, -8.931805899999999)",39.7503802,-8.9318059
Pedrógão Grande,"(39.917835, -8.1458099)",39.917835,-8.1458099
Pombal,"(39.9167748, -8.6321415)",39.9167748,-8.6321415
Porto de Mós,"(39.6022749, -8.8165669)",39.6022749,-8.8165669
Aguiar da Beira,"(40.816453, -7.5454104)",40.816453,-7.5454104
Carregal do Sal,"(40.4347784, -7.9980002)",40.4347784,-7.9980002
Castro Daire,"(40.8997924, -7.933502)",40.8997924,-7.933502
Mangualde,"(40.6045573, -7.7638745)",40.6045573,-7.7638745
Nelas,"(40.537787, -7.8498679)",40.537787,-7.8498679
Oliveira de Frades,"(40.7322554, -8.1737805)",40.7322554,-8.1737805
Penalva do Castelo,"(40.6862295, -7.633112999999999)",40.6862295,-7.633113
Santa Comba Dão,"(40.39305909999999, -8.150243300000001)",40.3930591,-8.1502433
São Pedro do Sul,"(40.7597932, -8.0640758)",40.7597932,-8.0640758
Sátão,"(40.7423572, -7.732120099999999)",40.7423572,-7.7321201
Tondela,"(40.5168388, -8.080047100000002)",40.5168388,-8.0800471
Vila Nova de Paiva,"(40.8511511, -7.7295377)",40.8511511,-7.7295377
Viseu,"(40.6565861, -7.9124712)",40.6565861,-7.9124712
Vouzela,"(40.7231807, -8.1120232)",40.7231807,-8.1120232
Castelo Branco,"(39.8031161, -7.4597725)",39.8031161,-7.4597725
Idanha-a-Nova,"(39.9013925, -7.200580599999999)",39.9013925,-7.2005806
Oleiros,"(39.9185272, -7.9137986)",39.9185272,-7.9137986
Penamacor,"(40.169313, -7.171492499999999)",40.169313,-7.1714925
Proença-a-Nova,"(39.7492692, -7.924331400000001)",39.7492692,-7.9243314
Vila Velha de Ródão,"(39.6545102, -7.6712121)",39.6545102,-7.6712121
Abrantes,"(39.4630563, -8.1995808)",39.4630563,-8.1995808
Alcanena,"(39.4583616, -8.669328799999999)",39.4583616,-8.6693288
