Algorithm,Parameters,Preprocessing Pipeline,Scaling,Sampling,time,precision,recall,result_profit
MLPClassifier_10_layers,Morten_Pipeline,None,None,0:00:14.640111,0.0,0.0,-124.5
MLPClassifier,Joris_Pipeline,None,None,0:00:13.315391,0.0,0.0,0.0
MLPClassifier,Morten_Pipeline,StandardScaler,RandomOverSampler,0:00:21.444676,0.5240963855421686,0.47802197802197804,0.315
MLPClassifier,Morten_Pipeline,StandardScaler,None,0:00:19.849932,0.5512048192771084,0.4945945945945946,0.344
MLPClassifier,Morten_Pipeline,MinMaxScaler,RandomOverSampler,0:00:22.493576,0.6174698795180723,0.5394736842105263,0.414
MLPClassifier,Morten_Pipeline,MinMaxScaler,None,0:00:21.566053,0.5843373493975904,0.5623188405797102,0.412
MLPClassifier,Morten_Pipeline,None,RandomOverSampler,0:00:12.017884,0.0,0.0,-124.5
MLPClassifier,Morten_Pipeline,None,None,0:00:12.096893,0.0,0.0,-124.5
XGBClassifier,Joris_Pipeline,None,None,0:05:19.580734,0.4939759036144578,0.6456692913385826,0.398
XGBClassifier,Morten_Pipeline,StandardScaler,RandomOverSampler,0:02:53.371529,0.5391566265060241,0.6280701754385964,0.427
XGBClassifier,Morten_Pipeline,StandardScaler,None,0:02:21.662246,0.4819277108433735,0.6374501992031872,0.38
XGBClassifier,Morten_Pipeline,MinMaxScaler,RandomOverSampler,0:02:58.394340,0.5391566265060241,0.6280701754385964,0.427
XGBClassifier,Morten_Pipeline,MinMaxScaler,None,0:02:24.926894,0.4819277108433735,0.6374501992031872,0.38
