Algorithm,Parameters,Preprocessing Pipeline,Scaling,Sampling,time,result_profit
MLPClassifier_10_layers,Morten_Pipeline,StandardScaler,SMOTETomek,0:00:21.860879,0.325
SVC,Morten_Pipeline,RobustScaler,TomekLinks,0:00:14.231140,0.029
MLPClassifier_10_layers,Morten_Pipeline,RobustScaler,RandomOverSampler,0:00:19.405396,0.356
SVC,Morten_Pipeline,RobustScaler,EditedNN,0:00:11.264315,0.403
SVC,Morten_Pipeline,RobustScaler,SMOTE,0:00:14.690848,0.472
MLPClassifier_10_layers,Morten_Pipeline,RobustScaler,TomekLinks,0:00:23.065186,0.366
SVC,Morten_Pipeline,RobustScaler,SMOTETomek,0:00:12.942530,0.433
MLPClassifier_10_layers,Morten_Pipeline,RobustScaler,EditedNN,0:00:12.039841,0.399
SVC,Morten_Pipeline,MinMaxScaler,RandomOverSampler,0:00:19.424852,0.44
MLPClassifier_10_layers,Morten_Pipeline,RobustScaler,SMOTE,0:00:29.048339,0.372
SVC,Morten_Pipeline,MinMaxScaler,TomekLinks,0:00:12.189641,-0.007
SVC,Morten_Pipeline,MinMaxScaler,EditedNN,0:00:15.668520,0.356
MLPClassifier_10_layers,Morten_Pipeline,RobustScaler,SMOTETomek,0:00:23.488022,0.329
SVC,Morten_Pipeline,MinMaxScaler,SMOTE,0:00:10.515923,0.452
SVC,Morten_Pipeline,MinMaxScaler,SMOTETomek,0:00:14.846998,0.419
MLPClassifier_10_layers,Morten_Pipeline,MinMaxScaler,RandomOverSampler,0:00:19.237335,0.411
SVC,Morten_Pipeline,None,RandomOverSampler,0:00:14.668480,-1.911
MLPClassifier_10_layers,Morten_Pipeline,MinMaxScaler,TomekLinks,0:00:18.372356,0.381
SVC,Morten_Pipeline,None,TomekLinks,0:00:11.631894,-1.911
SVC,Morten_Pipeline,None,EditedNN,0:00:10.236251,-1.771
MLPClassifier_10_layers,Morten_Pipeline,MinMaxScaler,EditedNN,0:00:17.193344,0.398
SVC,Morten_Pipeline,None,SMOTE,0:00:15.901134,-1.911
MLPClassifier_10_layers,Morten_Pipeline,MinMaxScaler,SMOTE,0:00:20.004091,0.411
SVC,Morten_Pipeline,None,SMOTETomek,0:00:15.600080,-1.911
SGDClassifier,Morten_Pipeline,MinMaxScaler,RandomOverSampler,0:00:08.749862,0.306
MLPClassifier_10_layers,Morten_Pipeline,MinMaxScaler,SMOTETomek,0:00:22.470636,0.391
MLPClassifier_10_layers,Morten_Pipeline,None,RandomOverSampler,0:00:08.527335,-124.5
SGDClassifier,Morten_Pipeline,MinMaxScaler,TomekLinks,0:00:08.852127,0.459
MLPClassifier_10_layers,Morten_Pipeline,None,TomekLinks,0:00:08.595509,-124.5
SGDClassifier,Morten_Pipeline,MinMaxScaler,EditedNN,0:00:09.139996,0.359
MLPClassifier_10_layers,Morten_Pipeline,None,EditedNN,0:00:08.229769,-124.5
SGDClassifier,Morten_Pipeline,MinMaxScaler,SMOTE,0:00:08.235807,0.261
MLPClassifier_10_layers,Morten_Pipeline,None,SMOTE,0:00:08.510681,-124.5
SGDClassifier,Morten_Pipeline,MinMaxScaler,SMOTETomek,0:00:09.578515,0.365
MLPClassifier_10_layers,Morten_Pipeline,None,SMOTETomek,0:00:08.545341,0.149
SGDClassifier,Morten_Pipeline,None,RandomOverSampler,0:00:07.907932,-0.141
DecisionTreeClassifier,Joris_Pipeline,RobustScaler,RandomOverSampler,0:00:08.060326,0.202
SGDClassifier,Morten_Pipeline,None,TomekLinks,0:00:08.111741,-0.052
SGDClassifier,Morten_Pipeline,None,EditedNN,0:00:08.216675,-11.625
DecisionTreeClassifier,Joris_Pipeline,RobustScaler,TomekLinks,0:00:08.816032,0.22
SGDClassifier,Morten_Pipeline,None,SMOTE,0:00:07.950044,0.044
DecisionTreeClassifier,Joris_Pipeline,RobustScaler,EditedNN,0:00:08.781273,0.297
SGDClassifier,Morten_Pipeline,None,SMOTETomek,0:00:08.214293,0.073
DecisionTreeClassifier,Joris_Pipeline,RobustScaler,SMOTE,0:00:08.515131,0.27
DecisionTreeClassifier,Joris_Pipeline,RobustScaler,SMOTETomek,0:00:09.229696,0.227
DecisionTreeClassifier,Joris_Pipeline,MinMaxScaler,RandomOverSampler,0:00:07.483262,0.207
DecisionTreeClassifier,Joris_Pipeline,MinMaxScaler,TomekLinks,0:00:08.045930,0.297
DecisionTreeClassifier,Joris_Pipeline,MinMaxScaler,EditedNN,0:00:07.966611,0.291
DecisionTreeClassifier,Joris_Pipeline,MinMaxScaler,SMOTE,0:00:07.279856,0.247
DecisionTreeClassifier,Joris_Pipeline,MinMaxScaler,SMOTETomek,0:00:08.658059,0.232
DecisionTreeClassifier,Joris_Pipeline,None,RandomOverSampler,0:00:07.201966,0.219
DecisionTreeClassifier,Joris_Pipeline,None,TomekLinks,0:00:07.191202,0.281
DecisionTreeClassifier,Joris_Pipeline,None,EditedNN,0:00:07.230784,0.298
DecisionTreeClassifier,Joris_Pipeline,None,SMOTE,0:00:07.460143,0.334
DecisionTreeClassifier,Joris_Pipeline,None,SMOTETomek,0:00:07.668889,0.319
DecisionTreeClassifier,Morten_Pipeline,StandardScaler,RandomOverSampler,0:00:07.568255,0.218
DecisionTreeClassifier,Morten_Pipeline,StandardScaler,TomekLinks,0:00:08.111045,0.312
DecisionTreeClassifier,Morten_Pipeline,StandardScaler,EditedNN,0:00:08.007540,0.297
DecisionTreeClassifier,Morten_Pipeline,StandardScaler,SMOTE,0:00:07.539228,0.301
DecisionTreeClassifier,Morten_Pipeline,StandardScaler,SMOTETomek,0:00:08.721553,0.279
DecisionTreeClassifier,Morten_Pipeline,RobustScaler,RandomOverSampler,0:00:07.446934,0.225
DecisionTreeClassifier,Morten_Pipeline,RobustScaler,TomekLinks,0:00:07.823594,0.288
DecisionTreeClassifier,Morten_Pipeline,RobustScaler,EditedNN,0:00:07.976758,0.305
DecisionTreeClassifier,Morten_Pipeline,RobustScaler,SMOTE,0:00:07.341402,0.27
DecisionTreeClassifier,Morten_Pipeline,RobustScaler,SMOTETomek,0:00:08.303264,0.235
DecisionTreeClassifier,Morten_Pipeline,MinMaxScaler,RandomOverSampler,0:00:07.278602,0.232
DecisionTreeClassifier,Morten_Pipeline,MinMaxScaler,TomekLinks,0:00:07.726325,0.31
DecisionTreeClassifier,Morten_Pipeline,MinMaxScaler,EditedNN,0:00:07.726912,0.309
DecisionTreeClassifier,Morten_Pipeline,MinMaxScaler,SMOTE,0:00:07.293103,0.272
DecisionTreeClassifier,Morten_Pipeline,MinMaxScaler,SMOTETomek,0:00:08.219412,0.294
DecisionTreeClassifier,Morten_Pipeline,None,RandomOverSampler,0:00:07.179451,0.235
DecisionTreeClassifier,Morten_Pipeline,None,TomekLinks,0:00:07.353170,0.267
DecisionTreeClassifier,Morten_Pipeline,None,EditedNN,0:00:07.150982,0.316
DecisionTreeClassifier,Morten_Pipeline,None,SMOTE,0:00:07.298448,0.321
DecisionTreeClassifier,Morten_Pipeline,None,SMOTETomek,0:00:07.444400,0.306
