,Municipality,Total,BE,CDS-PP,CDS-PP.PPM,JPP,L/TDA,MPT,NC,PAN,PCP-PEV,PCTP/MRPP,PDR,PNR,PPD/PSD,PPD/PSD.CDS-PP,PPM,PPV/CDC,PS,PTP,PTP-MAS,PURP,Winning_Party,Winning_Party_Fraction_Votes,Total_Number_People,Total_0-14,Total_15-65,Total_65>,Fraction_0-14,Fraction_15-65,Fraction_65>,Coordinates,x,y,Total_Avarage_income,Male_Avarage_income,Female_Avarage_Income,Unemployment_%Rate_2017,Unemployment_Rate_2017
77,Alfândega da Fé,2968,146,0,0,6,11,9,7,12,72,32,6,5,0,1384,6,0,1258,0,14,0,PPD/PSD.CDS-PP,0.46630727762803237,4607,389,2725.0,1494.0,0.08443672672020838,0.5914912090297374,0.3242891252441936,"(41.344363, -6.9601807)",41.344363,-6.9601807,652.3,650.8,653.7,11,0.11
78,Bragança,16008,1107,0,0,42,70,49,34,119,553,104,138,45,0,7751,40,0,5882,0,74,0,PPD/PSD.CDS-PP,0.48419540229885055,33717,3885,21654.0,8178.0,0.11522377435714921,0.6422279562238633,0.24254826941898747,"(41.8061131, -6.756737999999999)",41.8061131,-6.756738,777.2,813.9,740.3,5.2,0.052000000000000005
79,Macedo de Cavaleiros,8215,446,0,0,15,27,35,16,38,221,74,76,22,0,4490,42,0,2680,0,33,0,PPD/PSD.CDS-PP,0.5465611685940353,14683,1415,8726.0,4542.0,0.09636995164475924,0.5942927194714976,0.3093373288837431,"(41.5153524, -6.877992600000001)",41.5153524,-6.877992599999999,694.3,708.8,679.6,8.3,0.083
80,Miranda do Douro,3738,158,0,0,2,17,14,12,10,56,16,21,11,0,1928,17,0,1458,0,18,0,PPD/PSD.CDS-PP,0.5157838416265382,6979,610,4085.0,2285.0,0.08740507235993696,0.5853274108038401,0.3274108038400917,"(41.4995412, -6.2712311)",41.4995412,-6.2712311,705.6,761.7,651.4,5.7,0.057
81,Mirandela,11397,726,0,0,10,35,42,31,67,521,121,98,35,0,6305,25,0,3346,0,35,0,PPD/PSD.CDS-PP,0.5532157585329472,22052,2403,13600.0,6050.0,0.10896970796299656,0.6167241066569925,0.2743515327407945,"(41.4853545, -7.180871100000001)",41.4853545,-7.180871099999999,738.2,772.1,707.6,10.1,0.10099999999999999
82,Mogadouro,5265,226,0,0,17,26,13,12,30,87,25,51,6,0,2893,14,0,1840,0,25,0,PPD/PSD.CDS-PP,0.5494776828110162,8624,780,4863.0,2981.0,0.09044526901669758,0.56389146567718,0.34566326530612246,"(41.3419345, -6.7094364)",41.3419345,-6.7094364,684.1,721.9,640.8,8.6,0.086
83,Vila Flor,3461,195,0,0,3,12,9,9,20,145,33,31,15,0,1623,16,0,1344,0,6,0,PPD/PSD.CDS-PP,0.46893961282866226,6148,576,3716.0,1857.0,0.0936890045543266,0.6044242029928432,0.3020494469746259,"(41.30833690000001, -7.1536516)",41.3083369,-7.1536516,669.6,722,623.9,9.9,0.099
84,Vimioso,2457,132,0,0,4,7,8,5,9,52,13,17,3,0,1419,13,0,763,0,12,0,PPD/PSD.CDS-PP,0.5775335775335775,4133,418,2230.0,1485.0,0.10113718848294218,0.5395596419066053,0.35930316961045244,"(41.5844451, -6.529121099999999)",41.5844451,-6.529121099999999,676,687.8,666.1,7.5,0.075
85,Vinhais,4531,170,0,0,9,13,20,9,30,106,35,29,12,0,2312,21,0,1743,0,22,0,PPD/PSD.CDS-PP,0.510262635179872,8037,581,4140.0,3317.0,0.07229065571730746,0.5151175811870101,0.4127161876322011,"(41.8224297, -7.0498442)",41.8224297,-7.0498442,670.5,685.3,652.1,9,0.09
86,Alcobaça,27716,2505,0,0,51,204,116,115,330,1323,320,487,135,0,14456,92,0,7420,0,106,56,PPD/PSD.CDS-PP,0.5215759849906192,54376,6599,35620.0,12158.0,0.12135868765631896,0.6550684125349419,0.22359129027512137,"(39.54866699999999, -8.979649199999999)",39.548667,-8.979649199999999,771.5,844.8,690.3,4.3,0.043
87,Alenquer,19911,2303,0,0,33,152,105,64,266,2947,304,197,95,0,6030,50,0,7215,0,90,60,PS,0.3623625131836673,43390,6760,28409.0,8222.0,0.1557962664208343,0.6547361143120535,0.18949066605208573,"(39.0574004, -9.0063654)",39.0574004,-9.006365400000002,895.8,950.4,796.6,4.2,0.042
88,Arruda dos Vinhos,6384,772,0,0,8,48,28,16,98,652,90,75,32,0,2305,15,0,2198,0,26,21,PPD/PSD.CDS-PP,0.36105889724310775,14814,2397,9597.0,2820.0,0.16180639935196436,0.6478331308221952,0.19036046982584043,"(38.9835516, -9.0774591)",38.9835516,-9.0774591,773.7,807.7,717.8,3.5,0.035
89,Bombarral,6246,580,0,0,19,40,25,24,92,552,81,86,37,0,2797,22,0,1849,0,20,22,PPD/PSD.CDS-PP,0.4478065962215818,12593,1559,8038.0,2997.0,0.12379893591677917,0.638291114111014,0.23798935916779163,"(39.2683079, -9.1581115)",39.268307899999996,-9.1581115,727.1,759.5,691.7,4.3,0.043
90,Cadaval,6804,604,0,0,12,28,29,22,87,405,72,81,32,0,2887,19,0,2472,0,37,17,PPD/PSD.CDS-PP,0.4243092298647854,13750,1721,8390.0,3640.0,0.12516363636363637,0.6101818181818182,0.2647272727272727,"(39.2384934, -9.1068816)",39.2384934,-9.1068816,723.9,776.3,671.3,4.5,0.045
91,Caldas da Rainha,23867,2892,0,0,42,225,129,88,404,1229,242,386,115,0,11241,74,0,6579,0,122,99,PPD/PSD.CDS-PP,0.47098504210835046,51581,6852,33623.0,11107.0,0.13283961148484907,0.6518485488842791,0.21533122661445106,"(39.4048977, -9.135404)",39.4048977,-9.135404,765.6,826.6,707.6,4.6,0.046
92,Lourinhã,12393,1206,0,0,25,73,66,47,170,605,104,126,78,0,6705,27,0,3067,0,47,47,PPD/PSD.CDS-PP,0.5410312273057372,25647,3704,16802.0,5141.0,0.14442234959254494,0.6551253557921004,0.20045229461535463,"(39.2497523, -9.2896468)",39.2497523,-9.289646800000002,720.5,772.2,656.5,4.4,0.044000000000000004
93,Nazaré,6700,868,0,0,3,49,31,31,65,545,98,113,22,0,2147,16,0,2664,0,23,25,PS,0.39761194029850744,14309,1964,9112.0,3234.0,0.1372562722761898,0.6368020127192676,0.22601160109022295,"(39.6012147, -9.0700991)",39.60121470000001,-9.0700991,710.4,769.9,663.3,4.9,0.049
94,Óbidos,5581,671,0,0,9,44,21,25,83,352,83,75,23,0,2366,15,0,1780,0,20,14,PPD/PSD.CDS-PP,0.42393836230066295,11683,1515,7368.0,2800.0,0.129675597021313,0.6306599332363263,0.2396644697423607,"(39.3604212, -9.1582014)",39.360421200000005,-9.158201400000001,778.5,839.5,711.7,4.2,0.042
95,Peniche,11905,1297,0,0,26,93,52,44,195,1388,251,190,69,0,4219,42,0,3957,0,50,32,PPD/PSD.CDS-PP,0.35438891222175556,26766,3841,17036.0,5889.0,0.1435029515056415,0.6364791152955241,0.22001793319883434,"(39.3603291, -9.387622)",39.3603291,-9.387622,740.1,812.1,667.7,5.2,0.052000000000000005
96,Sobral de Monte Agraço,4711,495,0,0,7,37,22,14,68,909,99,48,14,0,1430,10,0,1511,0,27,20,PS,0.32073869666737426,10352,1540,6970.0,1843.0,0.14876352395672335,0.6732998454404946,0.17803323029366305,"(39.0188114, -9.1505771)",39.0188114,-9.1505771,744.3,782.8,692.1,3.5,0.035
97,Torres Vedras,38188,4115,0,0,75,285,216,138,568,3449,473,342,227,0,15936,114,0,11937,0,185,128,PPD/PSD.CDS-PP,0.4173038650885095,78609,11150,51186.0,16274.0,0.14184126499510233,0.6511468152501622,0.20702464094442113,"(39.0910112, -9.2597522)",39.091011200000004,-9.2597522,800.3,853.6,737.7,5.1,0.051
98,Águeda,23069,2001,0,0,27,79,65,49,189,970,203,249,92,0,12192,70,40,6727,0,72,44,PPD/PSD.CDS-PP,0.5285014521652434,46467,5747,30185.0,10535.0,0.12367917016377214,0.6496007919598855,0.22672003787634235,"(40.5754246, -8.446436799999999)",40.575424600000005,-8.4464368,826,910.7,715.7,4.2,0.042
99,Albergaria-a-Velha,11969,1045,0,0,14,38,36,19,97,490,108,117,67,0,6795,39,28,3029,0,32,15,PPD/PSD.CDS-PP,0.5677166012198178,24304,3164,16186.0,4954.0,0.13018433179723501,0.6659809084924292,0.20383475971033574,"(40.6894236, -8.4796655)",40.689423600000005,-8.4796655,855.8,921.7,746.5,4.4,0.044000000000000004
100,Anadia,14404,1049,0,0,26,47,54,35,106,488,105,137,42,0,8769,61,33,3379,0,59,14,PPD/PSD.CDS-PP,0.6087892252152179,27691,3010,17361.0,7320.0,0.10869957748004767,0.6269546061897368,0.2643458163302156,"(40.440347, -8.4352505)",40.440346999999996,-8.4352505,810.3,862.7,751.7,4.1,0.040999999999999995
101,Aveiro,38011,4639,0,0,58,369,152,157,542,1902,270,482,203,0,18096,134,77,10713,0,152,65,PPD/PSD.CDS-PP,0.4760727157927968,77436,10879,51586.0,14971.0,0.14049021127124334,0.6661759388398161,0.19333384988894053,"(40.6405055, -8.6537539)",40.640505499999996,-8.6537539,944.7,1035.1,824.6,5.5,0.055
102,Estarreja,12214,1172,0,0,19,44,43,24,116,787,171,145,63,0,6124,57,26,3343,0,50,30,PPD/PSD.CDS-PP,0.5013918454232847,26158,3407,17232.0,5520.0,0.1302469607768178,0.6587659607003593,0.21102530774524045,"(40.7528385, -8.5709856)",40.7528385,-8.5709856,889,939.7,781.7,5.2,0.052000000000000005
103,Ílhavo,16533,1932,0,0,20,106,92,57,249,801,162,237,101,0,8242,92,37,4303,0,57,45,PPD/PSD.CDS-PP,0.49851811528458234,38430,5381,25817.0,7232.0,0.1400208170699974,0.6717928701535258,0.1881863127764767,"(40.602309, -8.672371)",40.602309000000005,-8.672371,842.1,956.3,721.9,5,0.05
104,Murtosa,4174,269,0,0,5,21,16,8,30,139,31,30,15,0,2742,26,13,811,0,12,6,PPD/PSD.CDS-PP,0.6569238140872066,10324,1490,6677.0,2158.0,0.14432390546299884,0.6467454475009686,0.20902750871755132,"(40.7372064, -8.6380517)",40.7372064,-8.6380517,713.5,754.5,670.2,3.6,0.036000000000000004
105,Oliveira do Bairro,10909,711,0,0,12,34,35,29,88,237,70,118,45,0,7811,41,28,1596,0,31,23,PPD/PSD.CDS-PP,0.7160143001191677,23797,3392,15484.0,4921.0,0.14253897550111358,0.6506702525528428,0.20679077194604362,"(40.5170209, -8.498208)",40.5170209,-8.498208,813.9,895.8,720.8,4,0.04
106,Ovar,27432,3546,0,0,36,129,114,79,277,2040,340,402,146,0,10962,82,54,9075,0,94,56,PPD/PSD.CDS-PP,0.39960629921259844,54400,7057,37222.0,10121.0,0.12972426470588236,0.6842279411764706,0.18604779411764705,"(40.8596399, -8.6253313)",40.8596399,-8.625331300000001,821.1,882.9,746.0,5.8,0.057999999999999996
107,Sever do Vouga,6546,441,0,0,7,22,23,17,42,167,46,64,23,0,4351,24,17,1254,0,37,11,PPD/PSD.CDS-PP,0.6646807210510235,11623,1268,7376.0,2980.0,0.1090940376839026,0.6346038028047836,0.2563881958186355,"(40.7334189, -8.371767199999999)",40.733418900000004,-8.3717672,809.2,872.3,704.8,4.8,0.048
108,Vagos,10820,662,0,0,5,54,32,29,106,211,51,114,47,0,7947,46,27,1431,0,42,16,PPD/PSD.CDS-PP,0.7344731977818854,22797,3036,14875.0,4886.0,0.13317541781813397,0.6524981357196122,0.2143264464622538,"(40.5552666, -8.681525299999999)",40.5552666,-8.6815253,780.2,825.6,726.6,3.3,0.033
109,Arganil,6086,419,0,0,2,34,10,21,34,210,49,68,27,0,2987,11,0,2162,0,32,20,PPD/PSD.CDS-PP,0.49079855405849493,11249,1123,6958.0,3169.0,0.09983109609743088,0.6185438705662726,0.2817139301271224,"(40.218549, -8.053887)",40.218548999999996,-8.053887,662.2,690.7,634.4,6.4,0.064
110,Cantanhede,17702,1441,0,0,22,70,85,68,177,761,116,311,124,0,9345,36,0,5038,0,86,22,PPD/PSD.CDS-PP,0.5279064512484465,35477,4102,22067.0,9309.0,0.11562420723285509,0.6220086253065367,0.26239535473687176,"(40.3470015, -8.5933462)",40.347001500000005,-8.5933462,819.8,891,734.9,4.9,0.049
111,Coimbra,74329,8526,0,0,84,658,287,217,858,7173,592,1415,349,0,25222,210,0,28196,0,376,166,PS,0.37934049967038436,134252,16845,84222.0,33186.0,0.12547299109138038,0.6273426094210887,0.24719184816613532,"(40.2033145, -8.4102573)",40.203314500000005,-8.4102573,884.3,958.3,806.8,6.3,0.063
112,Condeixa-a-Nova,8042,1081,0,0,13,51,44,24,87,649,83,125,41,0,2601,12,0,3178,0,41,12,PS,0.3951753295200199,17528,2582,11532.0,3415.0,0.14730716567777272,0.6579187585577362,0.19483112733911456,"(40.1128075, -8.498688999999999)",40.1128075,-8.498689,756.2,812.3,701.3,3.7,0.037000000000000005
113,Figueira da Foz,28800,3603,0,0,50,177,149,118,408,2436,403,577,189,0,10058,92,0,10289,0,159,92,PS,0.35725694444444445,59675,7233,37683.0,14760.0,0.12120653540008379,0.6314704650188521,0.24733975701717636,"(40.1521398, -8.857583)",40.1521398,-8.857583,877.7,980,732.9,7,0.07
114,Góis,2087,138,0,0,5,7,6,11,12,65,14,14,14,0,908,2,0,879,0,9,3,PPD/PSD.CDS-PP,0.4350742692860565,3913,399,2316.0,1198.0,0.10196779964221825,0.5918732430360337,0.306158957321748,"(40.155204, -8.1106319)",40.155204,-8.1106319,652.9,671.2,642.6,6.6,0.066
115,Lousã,8205,976,0,0,10,44,34,32,99,424,59,116,49,0,2916,24,0,3375,0,26,21,PS,0.4113345521023766,17196,2558,11359.0,3279.0,0.14875552454059082,0.6605605954873226,0.19068387997208652,"(40.1147188, -8.2440038)",40.1147188,-8.2440038,768.5,803.5,726.5,5.5,0.055
116,Mealhada,9497,1033,0,0,18,46,33,25,96,688,104,133,48,0,3413,29,22,3754,0,37,18,PS,0.39528272085921873,20047,2487,12965.0,4595.0,0.12405846261285979,0.6467301840674415,0.22921135331969872,"(40.378484, -8.453571799999999)",40.378484,-8.4535718,771.3,792.5,732.8,3.7,0.037000000000000005
117,Mira,6287,490,0,0,10,21,27,23,46,165,36,89,35,0,3321,10,0,1963,0,44,7,PPD/PSD.CDS-PP,0.5282328614601559,11975,1402,7464.0,3109.0,0.11707724425887266,0.6232985386221295,0.2596242171189979,"(40.4287977, -8.738126099999999)",40.428797700000004,-8.7381261,742,805,683.8,6,0.06
118,Miranda do Corvo,6217,742,0,0,10,17,22,22,45,402,62,93,20,0,2228,20,0,2499,0,27,8,PS,0.40196236126749235,12811,1370,8598.0,2844.0,0.10693934899695574,0.6711419873546172,0.22199672156740302,"(40.09019809999999, -8.329640099999999)",40.0901981,-8.3296401,688.5,728.3,653.1,4.2,0.042
119,Montemor-o-Velho,12064,1353,0,0,22,50,58,28,112,1029,143,210,81,0,4033,31,0,4804,0,80,30,PS,0.39820954907161804,25485,3100,16308.0,6077.0,0.12164018049833235,0.6399058269570336,0.2384539925446341,"(40.1748245, -8.6826636)",40.1748245,-8.6826636,717.5,753,679.6,5.9,0.059000000000000004
120,Mortágua,4534,297,0,0,0,14,11,11,24,121,35,29,15,0,2538,5,0,1400,0,22,12,PPD/PSD.CDS-PP,0.5597706219673577,9012,914,5441.0,2657.0,0.10142032845095428,0.6037505548158012,0.2948291167332446,"(40.3968539, -8.2325058)",40.396853899999996,-8.2325058,786.1,855.5,702.3,3.8,0.038
121,Oliveira do Hospital,10403,672,0,0,11,31,30,25,77,350,69,134,40,0,5137,18,0,3746,0,51,12,PPD/PSD.CDS-PP,0.49379986542343557,19666,2211,12375.0,5080.0,0.11242753991660734,0.6292586189362351,0.25831384114715755,"(40.3608614, -7.862203200000001)",40.3608614,-7.862203200000001,683.5,731,637.8,5.7,0.057
122,Pampilhosa da Serra,2134,114,0,0,4,7,4,10,5,68,16,22,5,0,1074,4,0,789,0,5,7,PPD/PSD.CDS-PP,0.5032802249297095,4099,301,2162.0,1636.0,0.07343254452305441,0.527445718467919,0.3991217370090266,"(40.0463704, -7.949715499999999)",40.046370399999994,-7.9497155,674.5,711.9,653.3,4.8,0.048
123,Penacova,7450,426,0,0,5,21,23,18,36,434,68,92,26,0,3559,13,0,2686,0,36,7,PPD/PSD.CDS-PP,0.47771812080536913,14100,1446,8765.0,3890.0,0.1025531914893617,0.6216312056737588,0.27588652482269505,"(40.2704883, -8.28054)",40.2704883,-8.28054,749.3,800.5,660.0,3.9,0.039
124,Penela,2766,195,0,0,5,9,7,17,19,115,25,43,13,0,1423,4,0,862,0,21,8,PPD/PSD.CDS-PP,0.5144613159797542,5521,611,3271.0,1639.0,0.11066835718167,0.5924651331280565,0.2968665096902735,"(40.0292279, -8.3908296)",40.029227899999995,-8.3908296,694.9,722.6,654.0,4,0.04
125,Soure,9401,994,0,0,10,49,29,24,73,750,89,188,43,0,2980,19,0,4076,0,57,20,PS,0.4335708967131156,17660,1931,10505.0,5225.0,0.1093431483578709,0.5948471121177803,0.29586636466591165,"(40.0604197, -8.621863399999999)",40.060419700000004,-8.6218634,725.8,791.3,677.4,4.9,0.049
126,Tábua,5684,367,0,0,7,26,19,15,56,284,43,60,24,0,2694,12,0,2048,0,19,10,PPD/PSD.CDS-PP,0.47396199859254046,11576,1375,7472.0,2729.0,0.11878023496890118,0.645473393227367,0.23574637180373187,"(40.3656384, -8.0356087)",40.365638399999995,-8.0356087,652.1,685.7,620.5,5.4,0.054000000000000006
127,Vila Nova de Poiares,3089,243,0,0,2,20,20,10,21,161,22,58,17,0,1396,7,0,1094,0,12,6,PPD/PSD.CDS-PP,0.45192618970540627,6990,899,4771.0,1320.0,0.12861230329041487,0.6825464949928469,0.1888412017167382,"(40.2107667, -8.25907)",40.2107667,-8.25907,690.8,742,640.9,5.5,0.055
128,Alvaiázere,3685,191,0,0,2,14,12,4,26,52,20,46,19,0,2642,11,0,633,0,12,1,PPD/PSD.CDS-PP,0.7169606512890095,6750,631,3959.0,2160.0,0.09348148148148148,0.5865185185185186,0.32,"(39.8253215, -8.3827766)",39.8253215,-8.3827766,646,656.3,628.9,4.9,0.049
129,Ansião,6821,386,0,0,12,38,33,21,54,183,59,118,21,0,4157,19,0,1678,0,30,12,PPD/PSD.CDS-PP,0.6094414308752383,12360,1288,7708.0,3364.0,0.10420711974110032,0.6236245954692556,0.272168284789644,"(39.9107177, -8.438509999999999)",39.9107177,-8.43851,680.3,714.5,645.6,5,0.05
130,Batalha,8025,701,0,0,18,64,32,34,107,184,62,144,41,0,5085,31,0,1474,0,24,24,PPD/PSD.CDS-PP,0.6336448598130842,15844,2175,10448.0,3221.0,0.13727594041908608,0.6594294370108559,0.20329462257005806,"(39.6582957, -8.8241243)",39.658295700000004,-8.8241243,804.9,872.2,708.4,3.4,0.034
131,Castanheira de Pêra,1600,119,0,0,2,10,3,4,9,64,13,23,4,0,573,5,0,761,0,6,4,PS,0.475625,2712,229,1541.0,943.0,0.08443952802359882,0.5682153392330384,0.34771386430678464,"(40.0063802, -8.2109607)",40.0063802,-8.210960700000001,709.4,797,650.9,9.3,0.09300000000000001
132,Figueiró dos Vinhos,3441,202,0,0,7,13,13,7,18,68,25,46,10,0,1888,12,0,1111,0,14,7,PPD/PSD.CDS-PP,0.5486777099680326,5727,540,3364.0,1824.0,0.09429020429544265,0.5873930504627205,0.31849135673127293,"(39.9026838, -8.2760816)",39.9026838,-8.2760816,691.4,717.3,666.8,7.4,0.07400000000000001
133,Leiria,64716,6527,0,0,95,564,381,237,847,2118,539,1335,288,0,36208,201,0,14971,0,227,178,PPD/PSD.CDS-PP,0.5594906978181593,125415,17439,83384.0,24593.0,0.13905035282860903,0.6648646493641112,0.19609297133516723,"(39.74953310000001, -8.807682999999999)",39.7495331,-8.807683,850.4,926.3,750.6,4,0.04
134,Marinha Grande,18290,2895,0,0,23,183,109,73,280,3143,396,286,99,0,4952,47,0,5680,0,75,49,PS,0.31055221432476765,38544,5327,24851.0,8366.0,0.13820568700705688,0.6447436695724367,0.21705064342050642,"(39.7503802, -8.931805899999999)",39.7503802,-8.9318059,1003.4,1121.9,804.1,4.8,0.048
135,Pedrógão Grande,1877,121,0,0,3,7,15,6,9,24,15,32,8,0,1083,7,0,535,0,9,3,PPD/PSD.CDS-PP,0.5769845498135322,3498,369,2070.0,1059.0,0.10548885077186965,0.5917667238421955,0.3027444253859348,"(39.917835, -8.1458099)",39.917835,-8.1458099,675.2,684.2,665.2,7.1,0.071
136,Pombal,24473,1947,0,0,29,165,144,76,257,567,193,462,100,0,15235,71,0,5048,0,126,53,PPD/PSD.CDS-PP,0.6225227802067584,52648,6430,33517.0,12701.0,0.12213189484880717,0.636624373195563,0.24124373195562984,"(39.9167748, -8.6321415)",39.9167748,-8.6321415,766.2,817.8,696.2,3.8,0.038
137,Porto de Mós,11889,1132,0,0,30,73,73,51,132,389,120,238,82,0,6404,36,0,3044,0,52,33,PPD/PSD.CDS-PP,0.53864917150307,23545,3042,15266.0,5238.0,0.12919940539392652,0.6483754512635379,0.22246761520492675,"(39.6022749, -8.8165669)",39.6022749,-8.816566900000002,786.3,841.9,711.8,3.9,0.039
138,Aguiar da Beira,3030,131,0,0,3,5,13,3,16,50,12,25,24,0,1919,5,0,798,0,23,3,PPD/PSD.CDS-PP,0.6333333333333333,4883,426,3161.0,1296.0,0.08724144992832275,0.6473479418390334,0.26541060823264384,"(40.816453, -7.5454104)",40.816453,-7.545410400000001,637.8,652.2,624.5,5.2,0.052000000000000005
139,Carregal do Sal,4669,328,0,0,0,31,21,10,29,142,43,64,26,0,2584,22,0,1342,0,16,11,PPD/PSD.CDS-PP,0.5534375669308204,9420,1130,5872.0,2419.0,0.11995753715498939,0.6233545647558386,0.2567940552016985,"(40.4347784, -7.9980002)",40.4347784,-7.998000200000001,748.8,812,682.9,5.2,0.052000000000000005
140,Castro Daire,7136,313,0,0,0,14,22,10,35,202,64,75,24,0,4137,19,0,2174,0,29,18,PPD/PSD.CDS-PP,0.5797365470852018,14252,1628,8562.0,4062.0,0.11422958181307886,0.6007577883805781,0.28501262980634295,"(40.8997924, -7.933502)",40.8997924,-7.933502000000001,644.1,657.7,624.4,8.6,0.086
141,Mangualde,9307,601,0,0,0,143,32,21,87,382,102,88,30,0,4286,25,0,3468,0,24,18,PPD/PSD.CDS-PP,0.4605135919200602,18938,2321,11850.0,4767.0,0.12255782025557081,0.625726053437533,0.2517161263068962,"(40.6045573, -7.7638745)",40.604557299999996,-7.763874499999999,758.3,797.6,679.9,6.9,0.069
142,Nelas,6558,561,0,0,0,44,35,11,50,293,69,84,15,0,3144,23,0,2189,0,24,16,PPD/PSD.CDS-PP,0.4794144556267155,13278,1648,8167.0,3463.0,0.12411507757192349,0.6150775719234824,0.2608073505045941,"(40.537787, -7.8498679)",40.537787,-7.8498679000000005,803.2,888.1,698.1,6,0.06
143,Oliveira de Frades,5007,348,0,0,0,12,16,13,38,178,56,53,18,0,2975,20,0,1252,0,19,9,PPD/PSD.CDS-PP,0.5941681645696025,9977,1313,6487.0,2177.0,0.1316026861782099,0.650195449533928,0.2182018642878621,"(40.7322554, -8.1737805)",40.7322554,-8.1737805,828.9,884.3,736.9,5.2,0.052000000000000005
144,Penalva do Castelo,4116,203,0,0,0,21,10,7,12,167,40,40,12,0,2202,14,0,1359,0,14,15,PPD/PSD.CDS-PP,0.5349854227405247,7335,767,4412.0,2157.0,0.1045671438309475,0.6014996591683708,0.2940695296523517,"(40.6862295, -7.633112999999999)",40.686229499999996,-7.633113000000001,678.3,693.3,655.5,7.9,0.079
145,Santa Comba Dão,5607,365,0,0,0,32,28,16,39,137,46,44,18,0,3047,19,0,1781,0,24,11,PPD/PSD.CDS-PP,0.5434278580345996,10698,1204,6519.0,2976.0,0.11254440082258366,0.6093662366797532,0.2781828379136287,"(40.39305909999999, -8.150243300000001)",40.3930591,-8.1502433,730,783.5,675.5,6.1,0.061
146,São Pedro do Sul,8487,709,0,0,0,53,41,30,45,357,95,75,34,0,3945,30,0,3016,0,41,16,PPD/PSD.CDS-PP,0.46482856132909156,15780,1733,9596.0,4452.0,0.10982256020278834,0.6081115335868188,0.28212927756653994,"(40.7597932, -8.0640758)",40.759793200000004,-8.0640758,652.7,689,623.2,7.3,0.073
147,Sátão,6019,338,0,0,0,24,27,15,31,143,47,58,17,0,3794,19,0,1464,0,31,11,PPD/PSD.CDS-PP,0.6303372653264662,11789,1260,7719.0,2811.0,0.10687929425735855,0.6547629145813895,0.2384426159979642,"(40.7423572, -7.732120099999999)",40.74235720000001,-7.7321201,618.2,619.7,616.4,7.5,0.075
148,Tondela,14536,989,0,0,0,54,56,50,105,511,143,170,51,0,8634,50,0,3642,0,53,28,PPD/PSD.CDS-PP,0.5939735828288387,27129,2801,16376.0,7952.0,0.10324744738103137,0.6036344870802463,0.2931180655387224,"(40.5168388, -8.080047100000002)",40.516838799999995,-8.0800471,796.2,860.8,728.3,3.9,0.039
149,Vila Nova de Paiva,2499,101,0,0,0,8,13,9,10,64,12,14,8,0,1662,11,0,568,0,13,6,PPD/PSD.CDS-PP,0.6650660264105642,4813,539,2984.0,1291.0,0.11198836484521088,0.619987533762726,0.26823187201329735,"(40.8511511, -7.7295377)",40.8511511,-7.729537700000001,640.7,674,611.6,7.9,0.079
150,Viseu,49053,4349,0,0,0,369,172,212,450,1833,360,658,160,0,25504,137,0,14547,0,211,91,PPD/PSD.CDS-PP,0.5199274254377918,97636,13558,64091.0,19988.0,0.13886271457249375,0.656427956901143,0.20471957065017002,"(40.6565861, -7.9124712)",40.656586100000006,-7.9124712,779.7,810.6,742.2,6.5,0.065
151,Vouzela,5380,344,0,0,0,20,12,11,17,162,45,58,18,0,2908,9,0,1743,0,20,13,PPD/PSD.CDS-PP,0.5405204460966543,9855,1014,6035.0,2807.0,0.10289193302891933,0.6123795027904617,0.284830035514967,"(40.7231807, -8.1120232)",40.7231807,-8.112023200000001,699,785.1,646.9,6.3,0.063
152,Castelo Branco,28092,3066,0,0,0,147,125,79,308,1467,295,296,176,0,9863,127,0,11942,0,106,95,PS,0.4251032322369358,52915,6497,33119.0,13299.0,0.12278181989983937,0.6258905792308419,0.2513276008693187,"(39.8031161, -7.4597725)",39.803116100000004,-7.459772500000001,770.9,810.4,730.2,5.9,0.059000000000000004
153,Idanha-a-Nova,4817,333,0,0,0,17,29,22,33,259,66,60,17,0,1540,39,0,2357,0,19,26,PS,0.4893086983599751,8450,805,4179.0,3466.0,0.09526627218934912,0.4945562130177515,0.41017751479289943,"(39.9013925, -7.200580599999999)",39.9013925,-7.200580599999999,688.2,705.9,663.2,10.8,0.10800000000000001
154,Oleiros,3124,141,0,0,0,2,15,9,20,63,17,34,15,0,2058,16,0,715,0,10,9,PPD/PSD.CDS-PP,0.6587708066581306,5159,320,2838.0,2002.0,0.062027524714091876,0.5501066098081023,0.3880597014925373,"(39.9185272, -7.9137986)",39.91852720000001,-7.913798599999999,722.6,765.1,643.2,3.7,0.037000000000000005
155,Penamacor,2567,256,0,0,0,12,20,7,7,139,40,36,20,0,1071,27,0,904,0,12,16,PPD/PSD.CDS-PP,0.41721854304635764,4963,313,2657.0,1993.0,0.06306669353213781,0.5353616764054,0.4015716300624622,"(40.169313, -7.171492499999999)",40.169313,-7.1714925,692.9,731.1,633.3,7.3,0.073
156,Proença-a-Nova,4508,262,0,0,0,10,21,10,29,75,27,43,15,0,2563,19,0,1409,0,14,11,PPD/PSD.CDS-PP,0.5685448092280391,7564,643,4493.0,2429.0,0.08500793231094658,0.5939978847170809,0.32112638815441563,"(39.7492692, -7.924331400000001)",39.7492692,-7.9243314,706.4,726.7,678.5,4.7,0.047
