generation,add,sub,mul,div,Ageing index,Population density,migrants_Males,labour productivity,x,y,unemp_45 - 54,higher_female,no_male,avg_wage,Capital revenue,PPD/PSD,constant
22,2390,3152,4150,2533,5,13,998,2369,2190,1160,2153,4,1050,5,8,2,15493
26,5432,2043,2019,1976,2,0,2003,2,1986,2,2489,3965,2,0,2,974,12513
21,2015,1,1984,997,1,1,4,2,2015,0,1997,1,3,991,1,981,4997
28,998,989,1975,1984,1,4,5,4,1025,1974,4,36,0,1915,3,6,7915
20,1006,6052,1011,2006,3,1,0,1,1008,4,2981,3,4,1008,2,3,16132
23,2159,3050,4092,2189,3,5,997,2119,2068,1062,2082,4,1017,2,2,0,14619
27,5233,2035,2015,2004,1,2,1978,4,2001,1,2184,4081,4,1,6,998,12313
22,1946,9,1960,979,4,6,4,1,1933,3,1968,2,1,983,1,980,4902
29,998,1004,1971,1963,6,4,2,7,997,1977,4,29,3,1924,8,4,7907
24,2051,2954,3984,2121,3,2,952,2097,2075,974,1998,2,1007,3,4,4,14099
28,5027,1985,1996,1996,1,2,1956,2,2003,0,2061,3964,7,5,3,1008,11996
23,1958,3,1963,985,1,1,0,0,1964,0,1977,1,1,978,2,983,4910
30,979,989,1944,1995,2,1,4,1,997,1933,1,15,0,2004,0,1,7855
21,1006,5863,1012,1950,6,2,2,2,1007,0,2975,2,0,963,3,4,15696
25,1936,2916,3872,1954,2,1,983,1951,1917,981,1949,1,960,1,2,4,13604
31,1018,1024,2021,2042,3,4,1,5,1032,2004,1,5,0,2038,3,4,8110
29,4996,1977,2017,2007,2,12,1954,6,2015,3,2043,3938,3,5,2,1011,12000
24,2028,13,1979,1019,1,7,3,3,2012,7,1982,2,9,1013,3,992,5044
22,1003,6053,987,2024,2,0,0,4,987,1,3001,3,3,1009,5,5,16114
32,999,1003,1990,1993,9,3,3,5,1005,1991,3,3,0,1989,1,4,7954
26,2044,3021,4052,2013,5,3,1003,2002,2013,1002,2038,2,1017,2,3,0,14170
30,5045,2047,2063,2014,4,0,1995,2,2006,3,2062,4027,4,4,3,1026,12202
25,1987,4,1995,976,0,2,0,1,1992,2,1992,2,2,973,1,994,4963
33,1000,1013,1991,1996,3,3,2,1,974,1989,2,3,2,2018,3,2,7998
27,1977,2928,3951,1977,1,2,950,1972,1989,955,1978,1,1012,1,0,1,13804
31,5147,2075,2070,2047,7,1,1959,3,2031,4,2063,4120,8,4,2,1092,12384
23,1008,5878,1014,1910,6,2,3,7,1015,8,2919,10,2,961,4,4,15679
26,1945,3,1980,970,4,1,1,1,1950,1,1968,2,3,981,4,981,4899
34,1030,1019,2039,2048,5,5,4,3,1042,2030,4,2,3,2008,4,5,8157
28,1958,2944,3904,1944,2,0,994,1942,1964,979,1943,1,1004,1,0,3,13667
32,5320,2040,2080,2102,4,2,1750,5,2039,4,2081,4326,1,2,5,1230,12635
27,2006,4,1977,992,2,0,1,3,2007,0,1960,3,1,995,6,994,4986
24,997,5928,1019,1920,2,1,2,1,1021,1,2927,2,5,961,4,3,15798
35,987,975,2003,1958,1,1,2,0,990,2000,0,3,1,1926,0,0,7922
29,1974,2921,3982,1967,1,1,969,1974,1957,973,2012,3,990,6,3,2,13797
33,6559,2223,2497,2234,2,4,1528,2,2231,2,2585,5239,4,1,3,1695,14730
28,2001,10,2000,1006,6,5,4,3,1991,4,1989,3,5,999,1,1003,5021
36,974,986,1982,1938,1,0,1,1,987,1987,1,1,2,1916,0,2,7861
30,1996,3001,4049,2001,3,2,1020,1988,1971,1019,2024,2,1003,1,1,3,14057
25,997,5948,997,2032,3,2,1,5,982,5,3021,5,2,998,4,3,15917
34,7720,2321,2914,2371,2,2,1292,0,2404,1,3098,6066,1,3,1,2188,16594
29,1998,4,1995,1001,6,0,2,0,2005,2,1998,3,0,996,2,984,4998
37,988,992,1971,2005,3,2,1,1,1018,1960,2,0,2,1985,1,2,7935
31,1998,2963,3986,2016,0,0,979,2020,1998,983,2007,0,1012,0,3,1,13923
38,1024,1014,2013,2040,0,4,2,1,1007,2004,1,1,2,2053,2,2,8103
30,2028,3,2015,1031,0,4,1,4,2011,1,1993,5,3,1027,3,1021,5081
26,1013,6074,1005,2056,1,3,1,0,1002,1,3046,3,3,1018,1,0,16217
35,8215,2423,3090,2251,3,3,1264,5,2224,2,3387,6555,4,4,5,2220,17282
32,2038,2983,4021,2050,11,4,989,2031,2041,983,2007,4,1034,7,3,6,14064
39,1037,1051,2012,2026,2,2,3,2,975,2017,2,3,2,2087,3,3,8151
31,2017,4,1960,1001,2,2,4,2,2019,3,1959,2,3,999,4,981,4984
36,8689,2495,3441,2094,3,3,1675,2,2094,5,3777,6822,2,5,5,2133,17912
27,1017,5942,1009,1978,2,2,7,3,995,4,2978,5,6,991,4,3,15892
33,1991,2953,3974,1983,7,6,955,1996,1988,954,1997,5,994,1,1,8,13890
40,981,951,1966,1935,3,4,2,3,989,1974,3,3,2,1887,0,3,7793
32,1993,4,2011,1011,1,5,1,1,1987,3,2020,2,2,1007,4,982,5023
37,8924,2538,3596,2027,8,1,2114,0,1993,0,3805,6941,1,1,8,2052,18246
34,1989,2946,3985,1999,2,3,965,1991,2010,972,1989,3,1011,4,0,2,13886
28,1014,6047,1016,2016,2,4,4,3,1013,3,3006,4,4,1008,2,2,16131
41,1012,1025,1999,2040,5,3,5,1,1028,2001,1,2,4,2026,5,2,8069
33,2008,12,2007,1010,6,0,3,2,2018,2,1994,2,4,1004,4,995,5040
35,1953,2939,3894,1874,2,0,999,1883,1896,1007,1956,2,967,3,1,2,13602
42,979,985,1954,1954,7,0,8,4,946,1956,6,4,5,1977,3,2,7826
38,9820,2563,3835,2072,3,0,2425,5,2084,8,3991,7472,5,8,7,2126,19446
34,1974,7,1992,972,1,2,0,2,1973,2,1988,3,0,966,2,1005,4946
29,1016,5915,1015,1944,3,2,6,3,1016,2,2974,0,0,957,2,1,15814
43,997,996,2001,1972,1,4,0,1,998,2001,0,1,1,1961,0,1,7963
36,1997,2998,4014,1982,4,1,999,1985,1994,997,2011,2,1015,4,1,2,13967
39,9555,2392,3694,2025,1,4,2312,2,2001,5,3804,7333,5,1,3,2058,18803
35,1974,5,1975,1006,1,1,2,0,1985,0,1969,1,3,1010,2,985,4961
44,1025,1026,2029,2015,4,4,7,6,1004,2008,11,7,7,2010,5,4,8113
30,1014,5986,1036,2005,2,2,2,1,1032,1,3030,2,2,998,4,2,16004
37,1929,2877,3861,1916,2,2,967,1937,1922,967,1942,6,957,4,1,2,13457
