generation,add,sub,mul,div,Ageing index,Population density,migrants_Males,labour productivity,x,y,unemp_45 - 54,higher_female,no_male,avg_wage,Capital revenue,PPD/PSD,constant
16,2005,19,1997,1006,7,5,4,2,1996,5,1972,3,4,998,4,1022,5032
15,3418,2467,2094,4822,3,3,5813,4,1090,4,4322,108,4,2,2,5,15242
17,1002,1015,1983,2012,2,3,4,2,1000,1989,3,42,3,1979,1,1,7995
11,2848,3757,4178,3867,160,1,906,2760,2072,2731,2468,5,1423,3,13,2,17756
17,2001,5,2013,1013,3,9,2,4,1999,3,1995,2,3,1005,3,1001,5035
13,1967,1001,1017,2941,4,4,2,3,2958,1,1023,993,4,1,2,1945,7912
18,995,976,1977,1962,2,1,1,3,1006,1978,1,26,2,1911,5,1,7883
16,3292,2384,2099,4521,2,4,5507,7,1086,2,4119,221,5,3,2,5,14629
18,1989,3,1986,998,1,1,3,1,1973,4,1998,0,3,1003,1,986,4978
19,1020,1004,2010,2022,1,5,5,2,1009,2007,0,46,3,1971,4,1,8058
12,3147,3705,4491,4028,84,3,999,2883,2420,2689,2509,5,1635,3,1,4,18507
14,2025,1035,1027,3038,4,4,1,5,3010,2,1029,1027,9,4,3,1998,8154
19,1983,5,1957,993,7,2,4,4,1971,4,1949,6,1,992,3,993,4940
17,3550,2373,2374,5159,3,3,6297,2,1096,0,4229,621,1,4,2,5,15649
20,977,960,1948,1928,2,0,0,1,967,1961,2,36,0,1882,4,1,7770
20,2040,7,1995,1022,2,7,4,2,2016,6,1991,4,1,1025,3,1001,5066
15,1983,1021,987,2952,1,2,2,2,2949,1,981,1023,0,3,4,1952,7966
18,3265,2079,2441,4862,8,7,5962,8,1084,7,3787,1016,4,4,5,9,14393
21,1009,1017,1992,2009,7,2,7,7,1001,1989,3,35,3,1990,4,4,8002
13,3192,3546,4789,4406,33,1,1002,3348,2746,2418,2687,3,1488,1,2,0,19137
21,2015,1,1984,997,1,1,4,2,2015,0,1997,1,3,991,1,981,4997
16,1989,1017,1014,3000,0,1,2,3,2990,2,1010,1014,1,6,2,1978,8031
22,1029,1025,2007,2042,2,2,11,7,995,1994,3,74,5,1987,5,3,8118
22,1946,10,1959,979,4,6,5,0,1933,4,1968,1,1,983,1,980,4902
19,2924,1735,2369,4116,9,5,5134,12,1054,22,3349,1063,7,7,7,6,12613
23,1958,3,1963,985,1,1,0,0,1964,0,1977,1,1,978,2,983,4910
23,1011,1028,2019,2031,3,2,4,0,1015,2009,3,39,2,2004,2,1,8094
14,3280,3384,5005,4822,7,7,1007,3787,2993,2180,2889,2,1286,3,0,1,19820
17,2087,1052,1080,3099,3,4,1,3,3100,0,1082,1047,0,0,4,2029,8363
20,2960,1515,2334,4020,4,0,5021,4,1136,7,3238,1075,3,2,3,2,12163
24,2028,13,1979,1019,1,7,3,3,2012,7,1982,1,10,1013,3,992,5044
24,1014,997,2016,1996,3,5,1,5,1007,2008,8,46,7,1917,5,4,8030
25,1987,4,1995,976,0,2,0,1,1992,2,1992,3,1,973,0,995,4963
21,3163,1400,2476,4141,7,2,5156,2,1268,0,3498,1025,0,2,3,4,12393
18,2034,1033,1031,3019,4,0,4,5,3017,2,1022,1021,4,5,0,1999,8151
25,1006,993,1980,2004,1,3,2,2,1014,1988,1,44,4,1941,6,2,7958
