generation,add,sub,mul,div,Ageing index,Population density,migrants_Males,labour productivity,x,y,unemp_45 - 54,higher_female,no_male,avg_wage,Capital revenue,PPD/PSD,population_fitness,elite_fitness,val_fitness
0,0.25,0.25,0.25,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,6.851274387895941e+18,4.167361652485735,0.0
0,0.25,0.25,0.25,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,2.3510598750196886e+23,4.131001444015174,0.0
0,0.25,0.25,0.25,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.1751448427215843e+21,4.320632952107407,0.0
0,0.25,0.25,0.25,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.8899396622226145e+25,4.07797297238138,0.0
0,0.25,0.25,0.25,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.7745852869219617e+29,4.111132652081301,0.0
1,0.2935082600460956,0.2836760974887202,0.22773200654970963,0.1950836359154746,0.10420104455469897,0.10789611705663865,0.07821775066830873,0.07986011813640971,0.08793845378604652,0.09508345315616282,0.06571642550749915,0.06405622107362546,0.08092208779247899,0.08092208779247899,0.08475405295256852,0.07043218752308356,14513509.962591486,3.7564082794536446,0.0
1,0.24883756084929073,0.29955821278710787,0.25762006299691276,0.1939841633666886,0.08630818616403524,0.0994485328464489,0.0623440910902901,0.12946227924605286,0.11226807028368646,0.06637557965963911,0.06000130687395351,0.06358545573589322,0.07874144107568146,0.0833061622974601,0.09485355113077142,0.06330534359608754,189290.29239536327,3.0969079855317645,0.0
1,0.3008772525062848,0.22989359002179233,0.27279999737609,0.19642916009583286,0.0973257154955057,0.10285928460394583,0.0973257154955057,0.10355193971912392,0.08267453251768767,0.05880483001258089,0.08590761479491567,0.07219466219854415,0.07446713340576223,0.07926527344479331,0.06447573605153,0.08114756226010503,756532032.7749335,4.01775811248756,0.0
2,0.327624304426959,0.2850843953322494,0.18721388824397658,0.20007741199681503,0.15180444254228598,0.10929304133943844,0.10256731571854992,0.08130336002080178,0.04613754686301554,0.06600866853174005,0.0303608885084572,0.05873899138066736,0.0883029870424602,0.13333751043411493,0.10178435911001137,0.0303608885084572,319703.4730645745,2.7450648931295474,0.0
1,0.22061145131164794,0.2843056867014047,0.29239174149951064,0.2026911204874368,0.09316713613016096,0.08582516072859937,0.05483274157660515,0.09234988055007183,0.09900833588753784,0.06734255681902893,0.059256396150327524,0.0826797359898549,0.060044979369058116,0.09869893483788927,0.10458165280835949,0.1022124891525067,4922693.95934411,3.256958567412257,0.0
2,0.31365157431389556,0.19016413309253932,0.298556043999323,0.19762824859424216,0.15375343956075643,0.17400921866908287,0.039496296400928256,0.10853183968994569,0.08021918585778595,0.03480184373381657,0.03480184373381657,0.04948386560576068,0.1403835752511254,0.0949653597287025,0.051455334354994185,0.03809819741328478,755.5073071527387,2.9872231361487813,0.0
1,0.27739285220906407,0.259109694692804,0.2594774870202601,0.20401996607787187,0.09171071587949176,0.0791893266265722,0.087772218878532,0.09210432410215053,0.06623551702407737,0.08253964429154258,0.07817962665137002,0.0767810644572489,0.08723702242195558,0.07664395541357524,0.10811238043224719,0.07349420382123655,1565916.5441587453,4.111132652081301,0.0
