Seed,Algorithm,time,mean_s_error,explained_variance,final_tree_size
1,DecisionTreeRegressor,0:00:00.020859,1.9129032258064516,0.012660930090948153
0,LinearRegression,0:00:00.027377,1.466463500673251,0.30083661447865584
0,DecisionTreeRegressor,0:00:00.012406,2.4290322580645163,-0.37450275616931084
2,LinearRegression,0:00:00.007571,1.6114086669494332,0.386244607592083
1,Random_Tree_Forest,0:00:00.048791,1.5672580645161291,-0.3546002755605704
0,Tree_Bagging,0:00:00.050266,1.7687096774193547,-0.09513923973180227
2,DecisionTreeRegressor,0:00:00.010265,2.3129032258064517,-0.3636935129548662
1,Gradient_Tree_Boosting,0:00:00.061045,1.5969207680525328,-0.053234033789554935
0,Random_Tree_Forest,0:00:00.035201,1.7567741935483874,-0.24052634759279057
0,Gradient_Tree_Boosting,0:00:00.086266,1.4571020520792044,0.050225983025064536
1,Adaptive_Tree_Boosting,0:00:00.130724,1.6900089273856806,-0.7016410880302448
2,Tree_Bagging,0:00:00.068169,1.9040322580645157,-1.376286434823415
2,Gradient_Tree_Boosting,0:00:00.108003,1.6654847438840095,-0.17051614377047408
1,Tree_Bagging,0:00:00.040751,1.6148387096774197,-0.353033917741574
3,DecisionTreeRegressor,0:00:00.010349,2.088709677419355,0.02627126543859737
2,Random_Tree_Forest,0:00:00.038286,1.8617741935483867,-1.1410078752931105
0,Adaptive_Tree_Boosting,0:00:00.111994,1.5067225997992082,-0.15666007639875557
3,Random_Tree_Forest,0:00:00.036688,1.9240322580645162,-1.4161229977688805
3,Gradient_Tree_Boosting,0:00:00.068555,1.8157735473791283,-0.438398757936046
4,LinearRegression,0:00:00.008399,1.8568027148070851,-0.37116309873164033
4,DecisionTreeRegressor,0:00:00.009366,2.1225806451612903,-0.15339386450770753
2,Adaptive_Tree_Boosting,0:00:00.107478,1.9927203581000181,-2.0160227040111103
3,Adaptive_Tree_Boosting,0:00:00.106805,1.8445301243401515,-1.182498418973811
4,Tree_Bagging,0:00:00.036774,1.709354838709677,-0.7109010083538227
3,Tree_Bagging,0:00:00.033855,1.965322580645161,-1.4540481172055189
4,Gradient_Tree_Boosting,0:00:00.068249,1.6273209213838842,-0.24461474257181082
4,Random_Tree_Forest,0:00:00.033873,1.7638709677419353,-0.8192000882921617
4,Adaptive_Tree_Boosting,0:00:00.106870,1.8751064174667504,-1.1781352798731461
1,GS_GP,0:00:26.551331,2.0993980914397965,-1.6648667512913349
4,GS_GP,0:00:34.677718,2.2605888001042898,-1.0458418369254447
0,GS_GP,0:00:35.539573,1.8278349780761203,-0.8074013751142162
1,LinearRegression,0:00:00.008964,1.7271876752845319,-0.46046104628645335
2,GS_GP,0:00:37.116077,2.7691897349489962,-7.358680215585716
3,LinearRegression,0:00:00.008011,1.8062069557443106,0.04261404667664581
3,GS_GP,0:00:39.030879,2.505507196985451,-8.056811532963856
