generation,add,sub,mul,div,Ageing index,Population density,migrants_Males,labour productivity,x,y,unemp_45 - 54,higher_female,no_male,avg_wage,Capital revenue,PPD/PSD,population_fitness,elite_fitness,val_fitness
0,0.25,0.25,0.25,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,6.851274387895941e+18,4.167361652485735,0.0
0,0.25,0.25,0.25,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.8899396622226145e+25,4.07797297238138,0.0
0,0.25,0.25,0.25,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.1751448427215843e+21,4.320632952107407,0.0
0,0.25,0.25,0.25,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,2.3510598750196886e+23,4.131001444015174,0.0
0,0.25,0.25,0.25,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.7745852869219617e+29,4.111132652081301,0.0
1,0.25,0.25,0.25,0.25,0.07600150442762026,0.07635092051953729,0.0869118937632106,0.0869118937632106,0.0869118937632106,0.0869118937632106,0.0869118937632106,0.07635092051953729,0.0869118937632106,0.07600150442762026,0.0869118937632106,0.0869118937632106,14513509.962591486,3.7564082794536446,0.0
1,0.25,0.25,0.25,0.25,0.08513200035132129,0.08513200035132129,0.08513200035132129,0.08513200035132129,0.07422290944223038,0.08513200035132129,0.08513200035132129,0.08513200035132129,0.08513200035132129,0.07445708704455664,0.08513200035132129,0.08513200035132129,4922693.95934411,3.256958567412257,0.0
1,0.2558795938318772,0.24435400509318395,0.2558795938318772,0.24388680724306167,0.08420381355220578,0.08420381355220578,0.08420381355220578,0.08420381355220578,0.07375805092573619,0.08420381355220578,0.08420381355220578,0.08420381355220578,0.08420381355220578,0.08420381355220578,0.08420381355220578,0.08420381355220578,189290.29239536327,3.0969079855317645,0.0
1,0.2593653553605957,0.2467109600461746,0.2467109600461746,0.2472127245470552,0.08499135741284404,0.08499135741284404,0.08499135741284404,0.08499135741284404,0.08499135741284404,0.08499135741284404,0.07498924470172702,0.08499135741284404,0.07509718116983262,0.08499135741284404,0.08499135741284404,0.08499135741284404,756532032.775991,4.01775811248756,0.0
2,0.25303817260249994,0.24088548219250014,0.25303817260249994,0.25303817260249994,0.06689827545926544,0.07789009733562414,0.08746854263793204,0.08746854263793204,0.08746854263793204,0.08746854263793204,0.08746854263793204,0.07789009733562414,0.08746854263793204,0.0775731887660301,0.08746854263793204,0.08746854263793204,319703.4730645745,2.7450648931295474,0.0
2,0.24641911301459274,0.24809056732442822,0.25779304926988217,0.2476972703910969,0.08408114024917047,0.08408114024917047,0.08408114024917047,0.08408114024917047,0.07510745725912472,0.08408114024917047,0.08408114024917047,0.08408114024917047,0.08408114024917047,0.08408114024917047,0.08408114024917047,0.08408114024917047,755.5073071527387,2.9872231361487813,0.0
1,0.25,0.25,0.25,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1565916.5441587453,4.111132652081301,0.0
